DIA,TMP,RH,PM10
29.0,13.474,88.043,41.435
30.0,13.539,85.957,27.783
1.0,13.689,82.842,21.789
2.0,12.713,89.261,25.522
3.0,12.865,84.13,28.565
4.0,12.952,84.826,25.522
5.0,14.159,75.818,16.864
6.0,13.657,80.435,26.87
7.0,14.43,71.739,36.609
8.0,13.47,70.696,30.565
9.0,12.513,74.348,28.87
10.0,12.809,78.391,29.174
11.0,13.148,72.87,42.304
12.0,13.517,68.261,23.391
13.0,14.957,55.13,49.087
14.0,15.786,58.909,45.545
15.0,16.132,65.364,34.273
16.0,15.526,65.304,32.435
17.0,14.796,70.696,34.87
18.0,14.287,81.217,29.174
19.0,14.717,78.87,16.13
20.0,14.161,75.609,22.696
21.0,13.445,79.727,24.5
22.0,14.165,79.261,21.348
23.0,13.574,79.522,24.957
24.0,14.096,72.174,24.652
25.0,15.943,63.87,26.304
26.0,16.714,58.818,23.5
27.0,16.926,57.478,29.609
28.0,16.757,61.174,36.261
29.0,16.53,61.739,37.478
30.0,16.0,66.174,32.0
31.0,15.357,62.304,39.826
1.0,14.783,67.913,29.87
2.0,15.314,71.636,27.591
3.0,16.07,66.87,34.348
4.0,15.43,72.304,37.783
5.0,15.279,71.789,27.579
6.0,15.891,61.304,29.478
7.0,15.8,63.381,28.857
8.0,15.535,68.522,25.13
9.0,16.643,60.174,20.13
10.0,16.487,56.696,25.87
11.0,13.99,70.714,27.286
12.0,13.578,74.652,21.913
13.0,13.061,78.609,17.783
14.0,14.877,69.727,28.909
15.0,15.626,58.957,23.739
16.0,15.926,63.609,21.609
17.0,13.248,82.609,18.391
18.0,13.443,79.783,20.652
19.0,15.13,72.304,21.348
20.0,15.257,71.304,31.739
23.0,14.604,75.043,18.435
24.0,15.235,70.957,26.348
25.0,14.839,69.13,18.609
26.0,14.364,70.273,16.955
27.0,14.265,69.652,21.391
28.0,13.639,76.348,25.0
29.0,14.652,76.0,24.261
30.0,14.152,79.174,12.0
31.0,13.891,77.435,23.217
1.0,14.674,74.391,24.87
2.0,14.413,84.174,25.348
3.0,13.757,83.826,26.174
4.0,13.836,80.364,27.636
5.0,13.936,79.0,22.864
6.0,14.991,76.783,19.174
7.0,16.2,66.565,28.391
8.0,16.03,65.565,32.0
9.0,16.323,61.182,29.136
10.0,15.223,67.591,28.955
11.0,14.887,67.783,16.696
12.0,15.039,73.391,31.0
13.0,13.918,80.591,21.909
14.0,13.21,88.81,27.286
15.0,15.243,80.043,27.391
16.0,14.1,86.087,17.87
17.0,13.737,83.579,18.368
18.0,15.043,77.565,24.435
19.0,15.574,66.043,20.522
20.0,15.35,70.545,20.5
21.0,15.243,73.217,29.957
22.0,14.213,68.739,24.174
23.0,14.504,64.696,28.261
24.0,14.936,72.045,27.318
25.0,13.514,79.409,20.955
26.0,10.783,92.652,17.0
27.0,12.509,85.217,14.739
28.0,11.361,86.826,15.87
29.0,12.014,78.364,19.864
30.0,11.87,78.0,24.348
1.0,12.035,77.348,25.348
2.0,12.761,57.565,29.087
3.0,14.043,43.652,32.87
4.0,15.835,59.783,38.391
5.0,16.904,62.87,48.043
6.0,15.33,62.783,38.957
7.0,15.743,56.304,32.304
8.0,16.036,57.364,41.273
9.0,15.157,67.522,36.478
10.0,14.491,65.652,23.348
11.0,15.361,66.391,27.826
12.0,16.604,56.478,31.826
13.0,16.061,53.478,28.391
14.0,13.622,75.087,24.826
15.0,13.633,71.095,23.238
16.0,12.52,76.75,29.05
17.0,10.377,93.455,12.545
18.0,10.096,93.87,7.174
19.0,10.936,81.182,22.773
20.0,13.961,63.087,29.957
21.0,13.961,63.522,30.348
22.0,15.187,75.957,31.391
23.0,15.365,71.043,17.739
24.0,15.287,65.261,14.957
25.0,14.813,73.304,28.174
26.0,12.87,91.261,51.696
27.0,14.75,79.591,23.818
28.0,13.526,86.957,25.348
29.0,14.922,70.739,21.348
30.0,14.183,71.739,14.696
31.0,14.464,74.182,12.591
1.0,14.609,72.591,22.045
2.0,14.291,72.091,15.955
3.0,14.687,71.478,20.478
4.0,15.57,66.957,31.087
5.0,15.378,57.522,35.348
6.0,14.439,67.696,31.565
7.0,14.974,69.826,31.043
8.0,12.561,86.304,10.435
9.0,16.594,60.882,27.882
10.0,15.591,53.5,32.545
11.0,16.135,54.261,38.087
12.0,15.022,59.087,37.304
13.0,12.552,78.435,19.565
14.0,11.465,81.739,16.13
15.0,11.757,78.435,16.217
16.0,14.47,70.13,28.13
17.0,15.335,66.739,26.217
18.0,15.4,66.0,42.217
19.0,13.891,73.0,52.087
20.0,14.27,69.739,43.043
21.0,14.691,64.913,38.652
22.0,11.357,82.217,18.304
23.0,11.783,80.522,79.087
24.0,14.261,64.783,50.0
25.0,14.717,64.13,42.348
26.0,14.314,72.667,59.714
27.0,13.183,75.565,58.913
28.0,14.165,71.478,46.826
29.0,14.174,61.13,31.391
30.0,15.274,52.87,67.957
2.0,14.691,67.304,69.043
3.0,10.878,85.739,39.522
4.0,10.738,85.571,59.762
5.0,10.791,79.304,40.826
6.0,9.835,81.13,47.304
7.0,10.439,75.522,40.435
8.0,11.583,71.522,48.783
9.0,12.35,62.5,48.5
10.0,13.122,60.652,59.783
11.0,13.443,55.087,49.043
12.0,13.791,59.391,28.826
13.0,12.877,66.409,11.045
14.0,12.477,68.591,24.864
15.0,14.073,47.273,25.5
16.0,14.957,40.391,18.87
17.0,15.377,48.682,22.864
18.0,10.148,79.087,53.652
19.0,11.409,72.522,79.565
20.0,13.248,65.095,74.238
21.0,14.517,54.304,47.913
22.0,14.065,62.739,51.739
23.0,13.004,63.043,31.696
24.0,14.143,56.13,42.739
25.0,14.243,60.304,57.478
26.0,14.317,56.174,33.13
27.0,13.77,50.522,19.087
28.0,13.565,35.565,29.348
29.0,14.665,44.13,21.696
30.0,15.574,54.565,40.826
31.0,16.23,51.783,50.609
1.0,14.143,65.652,86.435
2.0,13.148,70.87,34.522
3.0,13.474,69.217,30.783
4.0,10.791,78.773,39.591
5.0,11.387,63.304,19.217
6.0,11.143,54.095,17.143
7.0,10.539,51.913,17.348
8.0,10.761,44.609,18.783
9.0,12.541,20.182,19.136
10.0,11.33,49.087,13.478
11.0,11.348,30.565,16.435
12.0,10.3,42.739,29.522
13.0,6.804,83.826,14.217
14.0,10.426,70.348,9.435
15.0,11.161,37.783,15.478
16.0,11.861,16.391,18.0
