DIA,TMP,RH,PM10
29,10.5,63.0,45.0
29,9.5,65.0,60.0
29,9.5,65.0,83.0
29,11.4,59.0,127.0
29,14.3,49.0,149.0
29,16.0,40.0,84.0
29,18.0,29.0,48.0
29,19.8,26.0,28.0
29,20.9,25.0,46.0
29,21.8,23.0,45.0
29,22.7,20.0,43.0
29,22.7,19.0,45.0
29,22.1,20.0,49.0
29,20.2,18.0,52.0
29,18.5,21.0,49.0
29,16.0,24.0,59.0
29,15.9,26.0,44.0
29,14.6,29.0,41.0
29,13.6,32.0,32.0
30,12.3,37.0,44.0
30,11.4,41.0,43.0
30,11.4,41.0,33.0
30,10.1,39.0,38.0
30,9.0,39.0,30.0
30,9.0,41.0,33.0
30,9.0,42.0,83.0
30,11.7,40.0,98.0
30,13.6,35.0,91.0
30,15.8,29.0,97.0
30,17.0,26.0,96.0
30,20.0,13.0,39.0
30,21.0,10.0,52.0
30,22.0,11.0,48.0
30,22.2,15.0,72.0
30,22.7,15.0,79.0
30,22.2,14.0,78.0
30,21.1,14.0,80.0
30,20.0,18.0,115.0
30,18.0,23.0,101.0
30,16.0,30.0,98.0
30,15.7,34.0,98.0
30,14.7,35.0,58.0
31,13.1,37.0,97.0
31,12.6,37.0,79.0
31,11.9,37.0,56.0
31,11.1,39.0,40.0
31,10.0,42.0,52.0
31,9.5,47.0,87.0
31,8.0,51.0,101.0
31,8.6,50.0,106.0
31,9.0,55.0,146.0
31,12.1,48.0,167.0
31,14.3,39.0,152.0
31,16.8,34.0,68.0
1,20.0,24.0,99.0
1,21.8,20.0,83.0
1,22.9,19.0,97.0
1,24.2,16.0,72.0
1,25.4,14.0,91.0
1,25.4,12.0,90.0
1,24.8,12.0,58.0
1,22.3,22.0,181.0
1,19.8,26.0,136.0
1,18.2,28.0,99.0
1,16.8,32.0,99.0
1,15.8,33.0,70.0
2,14.3,37.0,78.0
2,13.3,41.0,72.0
2,12.5,43.0,57.0
2,11.7,45.0,87.0
2,10.6,44.0,50.0
2,9.9,45.0,54.0
2,9.0,46.0,72.0
2,9.1,47.0,90.0
2,11.6,43.0,117.0
2,16.0,31.0,115.0
2,18.5,25.0,110.0
2,20.8,18.0,98.0
2,21.8,17.0,52.0
2,22.7,17.0,91.0
2,23.7,16.0,75.0
2,24.1,16.0,80.0
2,24.0,16.0,67.0
2,23.1,18.0,81.0
2,21.2,20.0,98.0
2,18.7,26.0,96.0
2,17.0,25.0,93.0
2,15.9,30.0,69.0
2,14.1,43.0,50.0
4,13.0,57.0,77.0
4,12.4,57.0,64.0
4,11.4,55.0,38.0
4,10.8,56.0,33.0
4,10.0,57.0,53.0
4,9.5,59.0,55.0
4,9.4,60.0,55.0
4,9.0,61.0,73.0
4,11.3,57.0,98.0
4,13.4,51.0,139.0
4,16.3,42.0,115.0
4,19.2,33.0,71.0
4,20.0,30.0,38.0
4,21.9,25.0,56.0
4,22.5,24.0,57.0
4,22.9,23.0,54.0
4,22.6,23.0,55.0
4,21.8,25.0,56.0
4,14.8,54.0,18.0
4,14.2,60.0,48.0
4,13.9,62.0,34.0
4,13.1,65.0,66.0
5,12.1,69.0,42.0
5,11.5,70.0,33.0
5,10.4,71.0,26.0
5,10.0,72.0,32.0
5,9.5,74.0,33.0
5,9.1,74.0,45.0
5,8.0,75.0,91.0
5,8.0,74.0,125.0
5,11.5,65.0,122.0
5,15.0,53.0,109.0
5,17.0,43.0,85.0
5,19.0,34.0,60.0
5,20.3,31.0,56.0
5,21.8,26.0,71.0
5,23.3,21.0,64.0
5,23.6,20.0,53.0
5,23.2,18.0,35.0
5,22.1,20.0,55.0
5,20.0,26.0,45.0
5,19.0,30.0,58.0
5,17.8,34.0,66.0
5,16.2,38.0,85.0
6,13.7,42.0,57.0
6,12.7,44.0,47.0
6,12.6,45.0,34.0
6,11.3,50.0,32.0
6,10.7,50.0,38.0
6,10.0,53.0,46.0
6,9.0,54.0,71.0
6,9.0,53.0,85.0
6,12.4,46.0,89.0
6,15.3,42.0,114.0
6,17.0,35.0,126.0
6,20.0,26.0,93.0
6,21.4,21.0,49.0
6,23.0,19.0,64.0
6,23.5,19.0,62.0
6,22.9,20.0,85.0
6,21.6,27.0,75.0
6,21.0,23.0,63.0
6,19.0,25.0,57.0
6,18.5,29.0,76.0
6,17.0,33.0,87.0
7,14.3,42.0,55.0
7,13.5,45.0,61.0
7,12.9,47.0,53.0
7,11.4,52.0,44.0
7,11.1,54.0,66.0
7,10.5,56.0,87.0
7,10.7,56.0,111.0
7,13.1,47.0,107.0
7,16.3,39.0,117.0
7,21.7,25.0,98.0
7,22.8,21.0,93.0
7,24.3,16.0,76.0
7,24.3,17.0,73.0
7,24.9,17.0,83.0
7,23.0,19.0,67.0
7,22.2,26.0,71.0
7,20.7,30.0,85.0
7,19.7,31.0,55.0
7,19.0,33.0,68.0
7,18.0,38.0,80.0
8,16.3,42.0,61.0
8,14.9,45.0,68.0
8,13.8,45.0,34.0
8,13.2,45.0,44.0
8,12.3,48.0,33.0
8,11.7,50.0,50.0
8,11.4,49.0,65.0
8,11.3,50.0,76.0
8,13.7,43.0,99.0
8,17.0,33.0,98.0
8,19.0,30.0,107.0
8,20.2,24.0,63.0
8,21.4,21.0,64.0
8,22.5,21.0,105.0
8,23.3,20.0,79.0
8,23.8,20.0,63.0
8,23.0,21.0,75.0
8,22.3,25.0,97.0
8,19.5,41.0,150.0
8,17.3,52.0,140.0
8,16.0,57.0,126.0
8,15.6,58.0,106.0
9,14.4,61.0,112.0
9,13.5,59.0,62.0
9,12.9,62.0,61.0
9,12.2,64.0,95.0
9,11.5,64.0,84.0
9,11.1,64.0,83.0
9,10.8,65.0,106.0
9,10.7,65.0,99.0
9,12.7,58.0,108.0
9,15.6,50.0,118.0
9,18.0,42.0,143.0
9,20.0,34.0,89.0
9,21.9,28.0,67.0
9,23.2,23.0,66.0
9,24.0,19.0,65.0
9,24.1,18.0,55.0
9,24.0,17.0,68.0
9,23.2,17.0,50.0
9,21.6,20.0,49.0
9,20.2,25.0,40.0
9,19.0,29.0,42.0
9,18.5,34.0,39.0
9,17.0,37.0,47.0
10,15.5,42.0,60.0
10,13.7,47.0,45.0
10,12.7,49.0,19.0
10,11.2,55.0,35.0
10,10.8,58.0,50.0
10,10.3,60.0,61.0
10,10.8,58.0,80.0
10,13.6,50.0,86.0
10,16.5,44.0,79.0
10,18.8,35.0,67.0
10,20.9,27.0,74.0
10,22.3,23.0,62.0
10,23.2,20.0,51.0
10,24.5,15.0,34.0
10,24.7,14.0,42.0
10,24.5,18.0,53.0
10,23.8,20.0,42.0
10,21.9,23.0,38.0
